FIPS,emp_total_county_naics,emp_occupation,emp,qp1,ap,est,n<5,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4
1001,23060,288.62512983911233,23060,293275,1278447,2806,1363,482,130,32,0,0,0,0,0,0,0,0,0
1003,336985,3596.3877825898976,336985,4080329,18026558,25490,13502,4200,2950,1366,241,21,0,0,0,0,0,0,0
1005,25322,312.6131424862583,25322,261186,980777,1087,404,40,0,0,0,0,0,0,0,0,0,0,0
1007,19611,224.74354630196424,19611,299619,1400868,831,280,63,0,0,54,0,0,0,0,0,0,0,0
1009,32406,392.08066983865046,32406,360149,1640600,4143,2401,300,267,117,0,0,0,0,0,0,0,0,0
1011,288,21.490737813598756,288,3288,14968,40,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,40157,328.5303273815888,40157,300739,1299511,987,321,24,74,0,0,0,0,0,0,0,0,0,0
1015,269687,3940.2288579392057,269687,2998383,12585608,9080,3651,1094,1082,325,28,324,0,0,0,0,0,0,0
1017,88415,824.7935341348358,88415,630731,2689134,2053,830,287,78,0,132,0,0,0,0,0,0,0,0
1019,5596,90.79276418457674,5596,74614,373254,639,173,24,102,0,0,0,0,0,0,0,0,0,0
1021,25634,439.40011576472614,25634,286674,1327847,3237,1700,371,165,21,0,0,0,0,0,0,0,0,0
1023,3138,188.67362979249532,3138,35587,167861,399,224,60,40,24,0,0,0,0,0,0,0,0,0
1025,22704,524.9303888215752,22704,289886,1347001,1320,427,344,24,21,0,0,0,0,0,0,0,0,0
1027,58114,459.75913783698996,58114,663152,2448375,469,193,48,0,0,0,0,0,0,0,0,0,0,0
1029,1967,61.129437607717115,1967,18612,90056,359,104,21,0,0,0,0,0,0,0,0,0,0,0
1031,81434,818.9800095280623,81434,862380,4252512,2710,1268,266,205,200,0,208,0,0,0,0,0,0,0
1033,203450,2691.6901966639693,203450,2317562,10021230,6015,1590,831,325,318,0,84,0,0,0,0,0,0,0
1035,1892,113.20076574407629,1892,22431,90223,316,147,48,24,0,0,0,0,0,0,0,0,0,0
1037,1358,21.659224499782507,1358,18082,78738,96,18,0,0,0,0,0,0,0,0,0,0,0,0
1039,26504,293.536016227568,26504,384136,1690487,2374,1156,487,91,0,0,0,0,0,0,0,0,0,0
1041,3520,97.3849392344735,3520,30444,161044,550,233,72,78,0,0,0,0,0,0,0,0,0,0
1043,182691,2288.650432502076,182691,2080755,8846158,8319,4078,1269,517,429,177,0,0,0,0,0,0,0,0
1045,80317,2150.6141216776955,80317,1521844,5957051,1865,677,204,73,0,0,0,0,0,0,0,0,0,0
1047,51338,461.10214745914175,51338,357538,1479349,1719,644,135,40,0,0,0,0,0,0,0,0,0,0
1049,155891,1926.5359206673256,155891,2215123,8307667,4784,1882,468,259,0,0,117,0,0,0,0,0,0,0
1051,36011,478.7229337919075,36011,414305,1886586,5131,2858,826,189,21,0,0,0,0,0,0,0,0,0
1053,21329,457.62187992515834,21329,233782,1229688,1917,876,374,117,28,0,0,0,0,0,0,0,0,0
1055,153879,2161.4875026394434,153879,1354757,5854388,7599,2682,1426,1204,629,21,0,0,0,0,0,0,0,0
1057,4252,104.61524020344552,4252,31217,146778,609,261,64,0,0,0,0,0,0,0,0,0,0,0
1059,53361,765.6810799980707,53361,536395,2577390,1796,586,40,48,117,0,0,0,0,0,0,0,0,0
1061,20506,358.48244696279227,20506,181787,809263,1293,689,78,0,0,0,0,0,0,0,0,0,0,0
1063,104,7.7424045925757055,104,992,5272,24,0,0,0,0,0,0,0,0,0,0,0,0,0
1065,3221,79.12080828381941,3221,32897,164737,337,97,32,0,0,0,0,0,0,0,0,0,0,0
1067,28372,336.92290316577083,28372,1075432,3075238,777,333,60,0,0,0,0,0,0,0,0,0,0,0
1069,218627,2445.1696743681564,218627,2480156,11457507,11410,4951,2003,1429,932,108,0,0,0,0,0,0,0,0
1071,40350,538.3818131232015,40350,422181,1870688,2748,1259,284,170,0,0,0,0,0,0,0,0,0,0
1073,1994985,22184.954841604143,1936038,30406893,125512854,69961,29540,12391,9806,7555,2877,1533,340,208,0,0,0,0,0
1075,4874,147.88406367489506,4874,76905,322338,462,208,40,0,0,0,0,0,0,0,0,0,0,0
1077,108887,1362.6938677555152,108887,1078726,4544808,6933,2868,1044,747,217,63,0,0,0,0,0,0,0,0
1079,8855,95.88358060223834,8855,133845,595168,937,285,60,0,0,0,0,0,0,0,0,0,0,0
1081,398046,4349.1058300151435,398046,4170148,17835279,14187,6359,2209,1330,767,322,776,0,0,0,0,0,0,0
1083,102136,1194.6403363195461,102136,1272469,6017524,7471,3901,834,594,449,63,132,0,0,0,0,0,0,0
1085,152,11.328291488452425,152,1760,8160,40,24,0,0,0,0,0,0,0,0,0,0,0,0
1087,2069,23.623581994081217,2069,21679,108264,173,51,0,0,0,0,0,0,0,0,0,0,0,0
1089,1450777,15154.027518445015,1450777,26358684,110424121,41037,18054,6698,4512,4150,1617,1673,435,155,0,0,0,0,0
1091,19713,245.36814651575597,19713,302091,1212731,998,457,0,87,0,0,0,0,0,0,0,0,0,0
1093,61946,639.0832315778819,61946,478385,2236906,1128,528,72,30,0,0,84,0,0,0,0,0,0,0
1095,240522,2545.3590278078364,231207,2225763,9836375,7854,3124,1033,779,339,33,340,0,0,0,0,0,0,0
1097,1074138,11991.412468446966,1001481,14280349,60483147,42930,18826,6997,6790,4797,1199,942,0,0,0,0,0,0,0
1099,13808,376.33722096636114,13808,181436,804218,837,306,127,0,0,0,54,0,0,0,0,0,0,0
1101,609123,5389.651884157781,609123,6895410,29076891,23098,8924,3882,3396,2466,873,500,156,0,0,0,0,0,0
1103,536602,7316.1947488966925,389722,6659071,28318487,14758,5380,2634,1482,1233,360,261,0,0,0,0,0,0,0
1105,1232,7.420770558627503,1232,10428,35134,110,0,0,0,0,0,0,0,0,0,0,0,0,0
1107,19622,279.6622362653031,19622,207739,1003871,780,322,24,0,0,0,0,0,0,0,0,0,0,0
1109,32870,488.40049937366405,32870,348106,1581866,1499,552,104,60,21,0,0,0,0,0,0,0,0,0
1111,18401,340.5940843352349,18401,206064,803651,1039,391,76,0,0,0,0,0,0,0,0,0,0,0
1113,21365,210.8275249658521,21365,180755,773384,2125,1027,230,244,100,0,0,0,0,0,0,0,0,0
1115,156162,1655.0845315890183,156162,1661292,7275179,7478,3311,1080,680,285,0,176,0,0,0,0,0,0,0
1117,529319,4061.565415807485,508349,7935007,32754285,27133,11779,4525,3809,2836,1003,416,0,0,0,0,0,0,0
1119,607,28.166584518484665,607,5412,24789,120,24,0,0,0,0,0,0,0,0,0,0,0,0
1121,201142,2765.3692175418632,201142,2023767,8573471,4739,1669,529,238,156,183,132,0,0,0,0,0,0,0
1123,105042,1009.3024328582298,105042,982616,3993313,2825,830,374,112,24,132,0,0,0,0,0,0,0,0
1125,660124,7980.949465089724,660124,7742339,32550085,17726,7511,2489,2252,2019,274,176,288,0,0,0,0,0,0
1127,48593,838.6682533159412,48593,799989,3000675,4033,1893,521,350,150,0,0,0,0,0,0,0,0,0
1129,23637,409.62163270935633,23637,638417,2556903,500,129,64,40,0,0,0,0,0,0,0,0,0,0
1131,2017,63.23659777281465,2017,18473,87566,200,87,24,0,0,0,0,0,0,0,0,0,0,0
1133,72916,965.6509007344777,72916,770526,3154936,1445,411,48,0,84,0,84,84,0,0,0,0,0,0
1999,2971359,5298.636604438719,2971359,26531574,116673344,6302,2209,472,0,0,0,520,780,780,676,208,312,0,0
2013,218,2.980351765813532,218,2304,9440,51,33,18,0,0,0,0,0,0,0,0,0,0,0
2016,301,3.9469251982625355,301,4165,15778,77,56,0,0,0,0,0,0,0,0,0,0,0,0
2020,590869,6680.354742532854,590869,11178285,50284521,32263,15930,5474,4471,3251,1143,511,123,42,0,0,0,0,0
2050,3720,74.88540959423406,3720,40695,172669,578,400,51,27,0,0,0,0,0,0,0,0,0,0
2060,465,11.769451798485122,465,4134,26247,117,69,0,0,0,0,0,0,0,0,0,0,0,0
2068,16,0.5441837078265177,16,118,3494,20,20,0,0,0,0,0,0,0,0,0,0,0,0
2070,204,5.277211221855334,204,2733,14845,45,20,0,0,0,0,0,0,0,0,0,0,0,0
2090,96993,1544.5888216094497,96993,1771972,8391801,10010,5378,1841,1082,557,63,0,0,0,0,0,0,0,0
2100,423,3.912070300763702,423,4355,37319,106,46,0,0,0,0,0,0,0,0,0,0,0,0
2105,356,5.482948988496799,356,3514,22296,109,105,0,0,0,0,0,0,0,0,0,0,0,0
2110,37613,773.7357165751158,37613,948494,3787913,3133,1490,561,363,0,0,0,0,0,0,0,0,0,0
2122,44200,677.1747811801278,44200,767904,3658724,7313,4631,1318,341,0,0,0,0,0,0,0,0,0,0
2130,5916,97.31618237782251,5916,82984,385289,886,476,0,57,0,0,0,0,0,0,0,0,0,0
2150,3205,58.92186671808775,3205,39108,194571,705,350,113,0,0,0,0,0,0,0,0,0,0,0
2158,400,11.080962284420977,400,5418,21100,107,69,0,0,0,0,0,0,0,0,0,0,0,0
2164,540,13.581265928082138,540,3788,18094,72,0,45,0,0,0,0,0,0,0,0,0,0,0
2170,75449,847.3040743818292,75449,1213969,6139266,12021,7581,2115,1030,255,0,0,0,0,0,0,0,0,0
2180,1422,30.158472196385443,1422,37558,155858,156,60,0,0,0,0,0,0,0,0,0,0,0,0
2185,41451,350.7135153329714,41451,1661925,6640114,609,138,0,108,45,0,0,0,0,0,0,0,0,0
2188,577,9.024141144154422,577,12670,59115,33,6,0,0,0,0,0,0,0,0,0,0,0,0
2195,49,2.01023759611462,49,854,4279,48,48,0,0,0,0,0,0,0,0,0,0,0,0
2198,2309,27.001617142582102,2309,29735,127692,209,47,0,0,0,0,0,0,0,0,0,0,0,0
2220,1112,9.83039263489813,1112,23663,78412,262,150,0,51,0,0,0,0,0,0,0,0,0,0
2230,8,0.258810353003292,8,46,504,6,6,0,0,0,0,0,0,0,0,0,0,0,0
2240,12768,395.03783034429784,12768,388278,1754653,256,119,0,0,0,0,0,0,0,0,0,0,0,0
2261,3093,32.29141377326476,3093,47771,243842,608,318,119,0,0,0,0,0,0,0,0,0,0,0
2275,36,0.8169010954911413,36,234,1256,34,34,0,0,0,0,0,0,0,0,0,0,0,0
2290,345,8.162396841128286,345,3145,17404,125,100,0,0,0,0,0,0,0,0,0,0,0,0
2999,23715,467.15976290286994,23715,655718,2484837,565,343,0,0,0,0,0,0,0,0,0,0,0,0
